Time, GPU, Memory Total (MiB), Memory Used (MiB)
16:40:10, NVIDIA RTX A2000 Laptop GPU, 4096,775
16:40:15, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:20, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:25, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:30, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:35, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:40, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:45, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:50, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:40:55, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:00, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:05, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:10, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:15, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:20, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:25, NVIDIA RTX A2000 Laptop GPU, 4096,811
