Time, GPU, Memory Total (MiB), Memory Used (MiB)
16:52:15, NVIDIA RTX A2000 Laptop GPU, 4096,329
16:52:20, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:25, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:30, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:35, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:40, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:45, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:50, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:52:55, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:00, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:05, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:10, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:15, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:20, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:25, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:53:30, NVIDIA RTX A2000 Laptop GPU, 4096,539
