Time, GPU, Memory Total (MiB), Memory Used (MiB)
16:44:31, NVIDIA RTX A2000 Laptop GPU, 4096,329
16:44:36, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:44:41, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:44:46, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:44:51, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:44:56, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:01, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:06, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:11, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:16, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:21, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:26, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:31, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:36, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:41, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:45:46, NVIDIA RTX A2000 Laptop GPU, 4096,539
