Time, GPU, Memory Total (MiB), Memory Used (MiB)
16:46:25, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:30, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:35, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:40, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:45, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:50, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:46:55, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:00, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:05, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:10, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:15, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:20, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:25, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:30, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:35, NVIDIA RTX A2000 Laptop GPU, 4096,539
16:47:40, NVIDIA RTX A2000 Laptop GPU, 4096,539
