Time, GPU, Memory Total (MiB), Memory Used (MiB)
15:25:50, NVIDIA RTX A2000 Laptop GPU, 4096,329
15:25:55, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:00, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:05, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:10, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:15, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:20, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:25, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:30, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:35, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:40, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:45, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:50, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:26:55, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:27:00, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:27:05, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:27:10, NVIDIA RTX A2000 Laptop GPU, 4096,539
15:27:15, NVIDIA RTX A2000 Laptop GPU, 4096,539
