Time, GPU, Memory Total (MiB), Memory Used (MiB)
14:29:27, NVIDIA RTX A2000 Laptop GPU, 4096,198
14:29:32, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:29:37, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:29:42, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:29:47, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:29:52, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:29:57, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:02, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:07, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:12, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:17, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:22, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:27, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:32, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:37, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:42, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:47, NVIDIA RTX A2000 Laptop GPU, 4096,423
14:30:52, NVIDIA RTX A2000 Laptop GPU, 4096,423
